No.	日付	海域	マス	出撃	ランク	敵艦隊	提督レベル	自陣形	敵陣形	自索敵	敵索敵	制空権	会敵	自触接	敵触接	自照明弾	敵照明弾	戦闘種別	艦名1	艦名2	艦名3	艦名4	艦名5	艦名6	自艦隊	開始	攻撃艦	砲撃種別	砲撃回数	表示装備1	表示装備2	表示装備3	クリティカル	ダメージ	かばう	攻撃艦.編成順	攻撃艦.ID	攻撃艦.名前	攻撃艦.種別	攻撃艦.疲労	攻撃艦.残耐久	攻撃艦.最大耐久	攻撃艦.損傷	攻撃艦.残燃料	攻撃艦.最大燃料	攻撃艦.残弾薬	攻撃艦.最大弾薬	攻撃艦.Lv	攻撃艦.速力	攻撃艦.火力	攻撃艦.雷装	攻撃艦.対空	攻撃艦.装甲	攻撃艦.回避	攻撃艦.対潜	攻撃艦.索敵	攻撃艦.運	攻撃艦.射程	攻撃艦.装備1.名前	攻撃艦.装備1.改修	攻撃艦.装備1.熟練度	攻撃艦.装備1.搭載数	攻撃艦.装備2.名前	攻撃艦.装備2.改修	攻撃艦.装備2.熟練度	攻撃艦.装備2.搭載数	攻撃艦.装備3.名前	攻撃艦.装備3.改修	攻撃艦.装備3.熟練度	攻撃艦.装備3.搭載数	攻撃艦.装備4.名前	攻撃艦.装備4.改修	攻撃艦.装備4.熟練度	攻撃艦.装備4.搭載数	攻撃艦.装備5.名前	攻撃艦.装備5.改修	攻撃艦.装備5.熟練度	攻撃艦.装備5.搭載数	攻撃艦.装備6.名前	攻撃艦.装備6.改修	攻撃艦.装備6.熟練度	攻撃艦.装備6.搭載数	防御艦.編成順	防御艦.ID	防御艦.名前	防御艦.種別	防御艦.疲労	防御艦.残耐久	防御艦.最大耐久	防御艦.損傷	防御艦.残燃料	防御艦.最大燃料	防御艦.残弾薬	防御艦.最大弾薬	防御艦.Lv	防御艦.速力	防御艦.火力	防御艦.雷装	防御艦.対空	防御艦.装甲	防御艦.回避	防御艦.対潜	防御艦.索敵	防御艦.運	防御艦.射程	防御艦.装備1.名前	防御艦.装備1.改修	防御艦.装備1.熟練度	防御艦.装備1.搭載数	防御艦.装備2.名前	防御艦.装備2.改修	防御艦.装備2.熟練度	防御艦.装備2.搭載数	防御艦.装備3.名前	防御艦.装備3.改修	防御艦.装備3.熟練度	防御艦.装備3.搭載数	防御艦.装備4.名前	防御艦.装備4.改修	防御艦.装備4.熟練度	防御艦.装備4.搭載数	防御艦.装備5.名前	防御艦.装備5.改修	防御艦.装備5.熟練度	防御艦.装備5.搭載数	防御艦.装備6.名前	防御艦.装備6.改修	防御艦.装備6.熟練度	防御艦.装備6.搭載数	艦隊種類	敵艦隊種類
1	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	昼戦開始	自軍	1	0	試製51cm三連装砲	46cm三連装砲改		2	165	0	1	916	大和改二重	航空戦艦	100	39	107	中破	108	300	240	400	136	低速	239	0	120	133	78	74	101	25	超長	試製51cm三連装砲	0	0	2	46cm三連装砲改	8	0	2	強風改	10	7	8	試製 夜間瑞雲(攻撃装備)	0	7	19	一式徹甲弾改	10	0	2	15m二重測距儀改+21号電探改二+熟練射撃指揮所	0	0		1	1565	空母ヲ級改 flagship	正規空母		143	160	小破未満		0		0	1	高速	40	22	107	120	0	16	10	0	超短	深海棲艦戦 Mark.III				深海棲艦爆 Mark.II				深海棲艦攻 Mark.III				深海棲艦攻 Mark.III												通常艦隊	通常艦隊
2	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	昼戦開始	自軍	1	1	試製51cm三連装砲	46cm三連装砲改		1	92	0	1	916	大和改二重	航空戦艦	100	39	107	中破	108	300	240	400	136	低速	239	0	120	133	78	74	101	25	超長	試製51cm三連装砲	0	0	2	46cm三連装砲改	8	0	2	強風改	10	7	8	試製 夜間瑞雲(攻撃装備)	0	7	19	一式徹甲弾改	10	0	2	15m二重測距儀改+21号電探改二+熟練射撃指揮所	0	0		1	1565	空母ヲ級改 flagship	正規空母		0	160	轟沈		0		0	1	高速	40	22	107	120	0	16	10	0	超短	深海棲艦戦 Mark.III				深海棲艦爆 Mark.II				深海棲艦攻 Mark.III				深海棲艦攻 Mark.III												通常艦隊	通常艦隊
3	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	昼戦開始	自軍	1	0	51cm連装砲	51cm連装砲		1	254	0	2	546	武蔵改二	戦艦	80	94	108	小破未満	99	275	210	350	144	低速	228	0	129	130	83	8	92	15	超長	51cm連装砲	10	0	5	51cm連装砲	10	0	5	零式水上偵察機11型乙(熟練)	0	7	5	強風改	10	7	8	一式徹甲弾改	10	0	5	15m二重測距儀+21号電探改二	0	0		4	1577	駆逐ハ級後期型	駆逐艦		2	38	大破		0		0	1	高速	46	82	36	29	0	7	0	0	短	5inch連装砲				高速深海魚雷				深海爆雷投射機																通常艦隊	通常艦隊
4	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	昼戦開始	自軍	1	1	51cm連装砲	51cm連装砲		1	252	0	2	546	武蔵改二	戦艦	80	94	108	小破未満	99	275	210	350	144	低速	228	0	129	130	83	8	92	15	超長	51cm連装砲	10	0	5	51cm連装砲	10	0	5	零式水上偵察機11型乙(熟練)	0	7	5	強風改	10	7	8	一式徹甲弾改	10	0	5	15m二重測距儀+21号電探改二	0	0		4	1577	駆逐ハ級後期型	駆逐艦		0	38	轟沈		0		0	1	高速	46	82	36	29	0	7	0	0	短	5inch連装砲				高速深海魚雷				深海爆雷投射機																通常艦隊	通常艦隊
5	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	空母ヲ級改	空母ヲ級改	南方棲戦姫	駆逐ハ級後期型	駆逐ハ級後期型	潜水ヨ級	通常艦隊	昼戦開始	敵軍	1	0	16inch三連装砲	16inch三連装砲		1	2	0	3	1548	南方棲戦姫	航空戦艦		185	380	中破		0		0	1	低速	200	100	100	188	3	5	16	0	長	16inch三連装砲				16inch三連装砲				深海棲艦戦 Mark.II				深海水上レーダー												4	650	宗谷	補給艦	52	27	30	小破未満	9	25	3	5	115	低速	1	0	0	89	88	4	34	82	短	増設バルジ(大型艦)	0	0	1	増設バルジ(大型艦)	0	0	2	増設バルジ(大型艦)	0	0	3													通常艦隊	通常艦隊
6	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	空母ヲ級改	空母ヲ級改	南方棲戦姫	駆逐ハ級後期型	駆逐ハ級後期型	潜水ヨ級	通常艦隊	昼戦開始	敵軍	1	1	16inch三連装砲	16inch三連装砲		1	16	0	3	1548	南方棲戦姫	航空戦艦		185	380	中破		0		0	1	低速	200	100	100	188	3	5	16	0	長	16inch三連装砲				16inch三連装砲				深海棲艦戦 Mark.II				深海水上レーダー												4	650	宗谷	補給艦	52	25	30	小破未満	9	25	3	5	115	低速	1	0	0	89	88	4	34	82	短	増設バルジ(大型艦)	0	0	1	増設バルジ(大型艦)	0	0	2	増設バルジ(大型艦)	0	0	3													通常艦隊	通常艦隊
7	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	昼戦開始	自軍	1	0	5inch単装砲 Mk.30改+GFCS Mk.37	5inch単装砲 Mk.30改		1	19	0	5	629	Fletcher Mk.II	駆逐艦	62	12	43	中破	9	25	15	25	120	高速	72	82	116	58	110	126	78	50	中	5inch単装砲 Mk.30改+GFCS Mk.37	0	0	0	5inch単装砲 Mk.30改	0	0	0	Hedgehog(初期型)	2	0	0													3	1548	南方棲戦姫	航空戦艦		185	380	中破		0		0	1	低速	200	100	100	188	3	5	16	0	長	16inch三連装砲				16inch三連装砲				深海棲艦戦 Mark.II				深海水上レーダー												通常艦隊	通常艦隊
8	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	昼戦開始	自軍	1	1	5inch単装砲 Mk.30改+GFCS Mk.37	5inch単装砲 Mk.30改		1	21	0	5	629	Fletcher Mk.II	駆逐艦	62	12	43	中破	9	25	15	25	120	高速	72	82	116	58	110	126	78	50	中	5inch単装砲 Mk.30改+GFCS Mk.37	0	0	0	5inch単装砲 Mk.30改	0	0	0	Hedgehog(初期型)	2	0	0													3	1548	南方棲戦姫	航空戦艦		166	380	中破		0		0	1	低速	200	100	100	188	3	5	16	0	長	16inch三連装砲				16inch三連装砲				深海棲艦戦 Mark.II				深海水上レーダー												通常艦隊	通常艦隊
9	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	昼戦開始	自軍	1	0	10cm連装高角砲+高射装置	10cm連装高角砲+高射装置		2	100	0	6	656	雪風改二	駆逐艦	52	14	40	中破	6	15	15	25	137	高速	93	97	119	60	139	97	76	67	長	10cm連装高角砲+高射装置	10	0	0	10cm連装高角砲+高射装置	10	0	0	SG レーダー(後期型)	2	0	0									水雷戦隊 熟練見張員	4	0		3	1548	南方棲戦姫	航空戦艦		145	380	中破		0		0	1	低速	200	100	100	188	3	5	16	0	長	16inch三連装砲				16inch三連装砲				深海棲艦戦 Mark.II				深海水上レーダー												通常艦隊	通常艦隊
10	2023-08-18 14:09:10	サーモン海域北方	マップ:5-5 セル:19	ボス	勝利A	深海南方任務部隊 本隊	120	梯形陣	輪形陣				反航戦					夜戦	大和改二重	武蔵改二	加賀改二	宗谷	Fletcher Mk.II	雪風改二	通常艦隊	昼戦開始	自軍	1	1	10cm連装高角砲+高射装置	10cm連装高角砲+高射装置		1	5	0	6	656	雪風改二	駆逐艦	52	14	40	中破	6	15	15	25	137	高速	93	97	119	60	139	97	76	67	長	10cm連装高角砲+高射装置	10	0	0	10cm連装高角砲+高射装置	10	0	0	SG レーダー(後期型)	2	0	0									水雷戦隊 熟練見張員	4	0		3	1548	南方棲戦姫	航空戦艦		45	380	大破		0		0	1	低速	200	100	100	188	3	5	16	0	長	16inch三連装砲				16inch三連装砲				深海棲艦戦 Mark.II				深海水上レーダー												通常艦隊	通常艦隊
