No.	日付	海域	マス	出撃	ランク	敵艦隊	提督レベル	自陣形	敵陣形	自索敵	敵索敵	制空権	会敵	自触接	敵触接	自照明弾	敵照明弾	戦闘種別	艦名1	艦名2	艦名3	艦名4	艦名5	艦名6	自艦隊	巡目	攻撃艦	砲撃種別	砲撃回数	表示装備1	表示装備2	表示装備3	クリティカル	ダメージ	かばう	攻撃艦.編成順	攻撃艦.ID	攻撃艦.名前	攻撃艦.種別	攻撃艦.疲労	攻撃艦.戦闘後疲労	攻撃艦.残耐久	攻撃艦.最大耐久	攻撃艦.損傷	攻撃艦.残燃料	攻撃艦.戦闘後残燃料	攻撃艦.最大燃料	攻撃艦.残弾薬	攻撃艦.戦闘後残弾薬	攻撃艦.最大弾薬	攻撃艦.Lv	攻撃艦.速力	攻撃艦.火力	攻撃艦.雷装	攻撃艦.対空	攻撃艦.装甲	攻撃艦.回避	攻撃艦.対潜	攻撃艦.索敵	攻撃艦.運	攻撃艦.射程	攻撃艦.装備1.名前	攻撃艦.装備1.改修	攻撃艦.装備1.熟練度	攻撃艦.装備1.搭載数	攻撃艦.装備1.戦闘後搭載数	攻撃艦.装備2.名前	攻撃艦.装備2.改修	攻撃艦.装備2.熟練度	攻撃艦.装備2.搭載数	攻撃艦.装備2.戦闘後搭載数	攻撃艦.装備3.名前	攻撃艦.装備3.改修	攻撃艦.装備3.熟練度	攻撃艦.装備3.搭載数	攻撃艦.装備3.戦闘後搭載数	攻撃艦.装備4.名前	攻撃艦.装備4.改修	攻撃艦.装備4.熟練度	攻撃艦.装備4.搭載数	攻撃艦.装備4.戦闘後搭載数	攻撃艦.装備5.名前	攻撃艦.装備5.改修	攻撃艦.装備5.熟練度	攻撃艦.装備5.搭載数	攻撃艦.装備5.戦闘後搭載数	攻撃艦.装備6.名前	攻撃艦.装備6.改修	攻撃艦.装備6.熟練度	攻撃艦.装備6.搭載数	攻撃艦.装備6.戦闘後搭載数	防御艦.編成順	防御艦.ID	防御艦.名前	防御艦.種別	防御艦.疲労	防御艦.戦闘後疲労	防御艦.残耐久	防御艦.最大耐久	防御艦.損傷	防御艦.残燃料	防御艦.戦闘後残燃料	防御艦.最大燃料	防御艦.残弾薬	防御艦.戦闘後残弾薬	防御艦.最大弾薬	防御艦.Lv	防御艦.速力	防御艦.火力	防御艦.雷装	防御艦.対空	防御艦.装甲	防御艦.回避	防御艦.対潜	防御艦.索敵	防御艦.運	防御艦.射程	防御艦.装備1.名前	防御艦.装備1.改修	防御艦.装備1.熟練度	防御艦.装備1.搭載数	防御艦.装備1.戦闘後搭載数	防御艦.装備2.名前	防御艦.装備2.改修	防御艦.装備2.熟練度	防御艦.装備2.搭載数	防御艦.装備2.戦闘後搭載数	防御艦.装備3.名前	防御艦.装備3.改修	防御艦.装備3.熟練度	防御艦.装備3.搭載数	防御艦.装備3.戦闘後搭載数	防御艦.装備4.名前	防御艦.装備4.改修	防御艦.装備4.熟練度	防御艦.装備4.搭載数	防御艦.装備4.戦闘後搭載数	防御艦.装備5.名前	防御艦.装備5.改修	防御艦.装備5.熟練度	防御艦.装備5.搭載数	防御艦.装備5.戦闘後搭載数	防御艦.装備6.名前	防御艦.装備6.改修	防御艦.装備6.熟練度	防御艦.装備6.搭載数	防御艦.装備6.戦闘後搭載数	艦隊種類	敵艦隊種類
1	2023-09-01 23:13:30	東部オリョール海	マップ:2-3 セル:1	出撃	勝利S	敵前衛警戒部隊	120	単縦陣	単縦陣	発見!	発見!	制空権確保	反航戦	九七式艦攻(友永隊)				砲撃戦	大鳳改	隼鷹改二	Ark Royal改	瑞穂改	不知火改二	綾波改二	通常艦隊	1	自軍	0	0				1	125	0	2	408	隼鷹改二	軽空母	84	95	55	62	小破未満	45	36	45	50	40	50	161	低速	40	33	79	62	110	20	114	44	長	九七式艦攻(友永隊)	0	7	24	23	九七式艦攻(友永隊)	0	7	18	18	九七式艦攻(友永隊)	0	7	20	20	彗星二二型(六三四空/熟練)	0	7	4	4											1	1518	軽巡ホ級 elite	軽巡洋艦			48	48	小破未満			0			0	1	高速	32	40	23	30	0	1	5	0	中	5inch単装高射砲					深海棲艦偵察機																									通常艦隊	通常艦隊
2	2023-09-01 23:14:56	東部オリョール海	マップ:2-3 セル:19		勝利S	敵巡洋艦戦隊	120	単縦陣	輪形陣	発見!	発見!	制空権確保	同航戦					砲撃戦	大鳳改	隼鷹改二	Ark Royal改	瑞穂改	不知火改二	綾波改二	通常艦隊	1	自軍	0	0				1	137	0	2	408	隼鷹改二	軽空母	95	96	55	62	小破未満	36	27	45	40	30	50	161	低速	40	33	79	62	110	20	114	44	長	九七式艦攻(友永隊)	0	7	23	22	九七式艦攻(友永隊)	0	7	18	17	九七式艦攻(友永隊)	0	7	20	20	彗星二二型(六三四空/熟練)	0	7	4	4											2	1522	重巡リ級 elite	重巡洋艦			32	60	小破			0			0	1	高速	69	42	37	60	0	2	10	0	中	8inch三連装砲					6inch連装速射砲					深海棲艦偵察機					深海棲艦偵察機															通常艦隊	通常艦隊
3	2023-09-01 23:14:56	東部オリョール海	マップ:2-3 セル:19		勝利S	敵巡洋艦戦隊	120	単縦陣	輪形陣	発見!	発見!	制空権確保	同航戦					砲撃戦	大鳳改	隼鷹改二	Ark Royal改	瑞穂改	不知火改二	綾波改二	通常艦隊	1	自軍	0	0	10cm連装高角砲+高射装置			1	82	1	5	567	不知火改二	駆逐艦	50	51	38	38	小破未満	12	9	15	16	12	20	173	高速	76	93	92	55	129	98	75	28	中	10cm連装高角砲+高射装置	10	0	0	0	10cm連装高角砲+高射装置	10	0	0	0	GFCS Mk.37	2	0	0	0											熟練見張員	0	0			6	1501	駆逐イ級	駆逐艦			20	20	小破未満			0			0	1	高速	6	15	6	5	0	0	0	0	短	5inch単装砲																														通常艦隊	通常艦隊
4	2023-09-01 23:14:56	東部オリョール海	マップ:2-3 セル:19		勝利S	敵巡洋艦戦隊	120	単縦陣	輪形陣	発見!	発見!	制空権確保	同航戦					砲撃戦	重巡リ級	重巡リ級	雷巡チ級	駆逐イ級後期型	駆逐イ級	駆逐イ級	通常艦隊	1	敵軍	0	0	8inch三連装砲			0	0	0	1	1522	重巡リ級 elite	重巡洋艦			60	60	小破未満			0			0	1	高速	69	42	37	60	0	2	10	0	中	8inch三連装砲					6inch連装速射砲					深海棲艦偵察機					深海棲艦偵察機															4	348	瑞穂改	水上機母艦	50	51	49	49	小破未満	32	24	40	36	27	45	126	低速	45	110	44	48	47	0	109	16	短	甲標的 丙型	0	0	12	12	甲標的 甲型	0	0	12	12	甲標的 甲型	0	0	8	8																通常艦隊	通常艦隊
5	2023-09-01 23:14:56	東部オリョール海	マップ:2-3 セル:19		勝利S	敵巡洋艦戦隊	120	単縦陣	輪形陣	発見!	発見!	制空権確保	同航戦					砲撃戦	大鳳改	隼鷹改二	Ark Royal改	瑞穂改	不知火改二	綾波改二	通常艦隊	1	自軍	0	0	10cm連装高角砲+高射装置			2	98	0	6	195	綾波改二	駆逐艦	50	51	37	37	小破未満	12	9	15	16	12	20	172	高速	84	91	80	55	128	93	84	44	中	10cm連装高角砲+高射装置	10	0	0	0	10cm連装高角砲+高射装置	10	0	0	0	GFCS Mk.37	0	0	0	0											熟練見張員	0	0			1	1522	重巡リ級 elite	重巡洋艦			60	60	小破未満			0			0	1	高速	69	42	37	60	0	2	10	0	中	8inch三連装砲					6inch連装速射砲					深海棲艦偵察機					深海棲艦偵察機															通常艦隊	通常艦隊
6	2023-09-01 23:16:10	東部オリョール海	マップ:2-3 セル:20	ボス	勝利S	敵主力打撃群	120	単縦陣	単縦陣	発見!	発見!	制空権確保	同航戦					砲撃戦	大鳳改	隼鷹改二	Ark Royal改	瑞穂改	不知火改二	綾波改二	通常艦隊	1	自軍	7	0	彗星二二型(六三四空/熟練)	九七式艦攻(友永隊)		1	137	0	2	408	隼鷹改二	軽空母	96	82	55	62	小破未満	27	18	45	30	20	50	161	低速	40	33	79	62	110	20	114	44	長	九七式艦攻(友永隊)	0	7	22	22	九七式艦攻(友永隊)	0	7	17	17	九七式艦攻(友永隊)	0	7	20	20	彗星二二型(六三四空/熟練)	0	7	4	4											1	1529	戦艦ル級 flagship	戦艦			49	98	中破			0			0	1	低速	130	0	91	99	0	1	10	0	長	16inch三連装砲					16inch三連装砲					深海棲艦偵察機					水上レーダ― Mark.I															通常艦隊	通常艦隊
7	2023-09-01 23:26:41	東部オリョール海	マップ:2-3 セル:10		勝利S	敵巡洋艦戦隊	120	単縦陣	単縦陣	発見!	発見!	制空権確保	反航戦					砲撃戦	大鳳改	隼鷹改二	Ark Royal改	瑞穂改	不知火改二	綾波改二	通常艦隊	1	自軍	0	0				2	265	0	2	408	隼鷹改二	軽空母	84	95	55	62	小破未満	27	18	45	30	20	50	161	低速	40	33	79	62	110	20	114	44	長	九七式艦攻(友永隊)	0	7	23	23	九七式艦攻(友永隊)	0	7	18	18	九七式艦攻(友永隊)	0	7	20	20	彗星二二型(六三四空/熟練)	0	7	4	4											2	1522	重巡リ級 elite	重巡洋艦			29	60	中破			0			0	1	高速	69	42	37	60	0	2	10	0	中	8inch三連装砲					6inch連装速射砲					深海棲艦偵察機					深海棲艦偵察機															通常艦隊	通常艦隊
8	2023-09-01 23:57:13	東部オリョール海	マップ:2-3 セル:5	出撃	勝利S	敵前衛警戒部隊	120	単縦陣	単縦陣	発見!	発見!	制空権確保	Ｔ字不利					砲撃戦	大鳳改	隼鷹改二	Ark Royal改	瑞穂改	不知火改二	綾波改二	通常艦隊	1	自軍	7	0	彗星二二型(六三四空/熟練)	九七式艦攻(友永隊)		1	122	0	2	408	隼鷹改二	軽空母	80	81	55	62	小破未満	45	36	45	50	40	50	161	低速	40	33	79	62	110	20	114	44	長	九七式艦攻(友永隊)	0	7	24	23	九七式艦攻(友永隊)	0	7	18	18	九七式艦攻(友永隊)	0	7	20	20	彗星二二型(六三四空/熟練)	0	7	4	4											5	1501	駆逐イ級	駆逐艦			20	20	小破未満			0			0	1	高速	6	15	6	5	0	0	0	0	短	5inch単装砲																														通常艦隊	通常艦隊
9	2023-09-01 23:59:24	東部オリョール海	マップ:2-3 セル:10		勝利S	敵巡洋艦戦隊	120	単縦陣	単縦陣	発見!	発見!	制空権確保	同航戦					砲撃戦	大鳳改	隼鷹改二	Ark Royal改	瑞穂改	不知火改二	綾波改二	通常艦隊	1	自軍	0	0				1	141	0	2	408	隼鷹改二	軽空母	92	100	55	62	小破未満	27	18	45	30	20	50	161	低速	40	33	79	62	110	20	114	44	長	九七式艦攻(友永隊)	0	7	23	23	九七式艦攻(友永隊)	0	7	18	18	九七式艦攻(友永隊)	0	7	20	19	彗星二二型(六三四空/熟練)	0	7	4	4											1	1522	重巡リ級 elite	重巡洋艦			57	60	小破未満			0			0	1	高速	69	42	37	60	0	2	10	0	中	8inch三連装砲					6inch連装速射砲					深海棲艦偵察機					深海棲艦偵察機															通常艦隊	通常艦隊
10	2023-09-01 23:59:24	東部オリョール海	マップ:2-3 セル:10		勝利S	敵巡洋艦戦隊	120	単縦陣	単縦陣	発見!	発見!	制空権確保	同航戦					砲撃戦	大鳳改	隼鷹改二	Ark Royal改	瑞穂改	不知火改二	綾波改二	通常艦隊	1	自軍	0	0	10cm連装高角砲+高射装置			1	30	0	5	567	不知火改二	駆逐艦	51	52	38	38	小破未満	9	6	15	12	8	20	173	高速	76	93	92	55	129	98	75	28	中	10cm連装高角砲+高射装置	10	0	0	0	10cm連装高角砲+高射装置	10	0	0	0	GFCS Mk.37	2	0	0	0											熟練見張員	0	0			2	1522	重巡リ級 elite	重巡洋艦			8	60	大破			0			0	1	高速	69	42	37	60	0	2	10	0	中	8inch三連装砲					6inch連装速射砲					深海棲艦偵察機					深海棲艦偵察機															通常艦隊	通常艦隊
